60002800;INSTITUTO SUPERIOR DE FORMACIÓN TÉCNICA Nº189;BUENOS AIRES;LUJAN;FONDO ESCOLAR - Programa 39 - INET;RM -957/2022;$ 684.500,00;$ 623.557,00;Buenos Aires
60006900;ESCUELA DE EDUCACIÓN SECUNDARIA AGRARIA Nº1;BUENOS AIRES;SAN VICENTE;FONDO ESCOLAR - Programa 39 - INET;RM -957/2022;$ 1.926.400,00;$ 1.926.400,00;Buenos Aires
60006900;ESCUELA DE EDUCACIÓN SECUNDARIA AGRARIA Nº1;BUENOS AIRES;SAN VICENTE;FONDO ESCOLAR - Programa 39 - INET;RM -732/2023;$ 2.752.000,00;$ 0,00;Buenos Aires
60006900;ESCUELA DE EDUCACIÓN SECUNDARIA AGRARIA Nº1;BUENOS AIRES;SAN VICENTE;PLAN DE MEJORA INSTITUCIONAL – ETP –Entornos Formativos;RM -3431/2021;$ 500.000,00;$ 500.000,00;Buenos Aires
60006900;ESCUELA DE EDUCACIÓN SECUNDARIA AGRARIA Nº1;BUENOS AIRES;SAN VICENTE;PMI EQUIPAMIENTO INSTITUCIONAL                                                                      ;RM -1994/2022;$ 2.145.000,00;$ 2.145.000,00;Buenos Aires
60008000;INSTITUTO SUPERIOR DE FORMACION DOCENTE Nº165;BUENOS AIRES;LOBERIA;FONDO ESCOLAR - Programa 39 - INET;RM -957/2022;$ 471.350,00;$ 471.350,00;Buenos Aires
60008000;INSTITUTO SUPERIOR DE FORMACION DOCENTE Nº165;BUENOS AIRES;LOBERIA;PLAN DE MEJORA INSTITUCIONAL – ETP –Entornos Formativos;RM -3431/2021;$ 600.000,00;$ 600.000,00;Buenos Aires
60011000;ESCUELA DE EDUCACIÓN SECUNDARIA TÉCNICA Nº2 MANUEL MATEO;BUENOS AIRES;SAN VICENTE;FONDO ESCOLAR - Programa 39 - INET;RM -957/2022;$ 1.549.500,00;$ 1.549.500,00;Buenos Aires
60011000;ESCUELA DE EDUCACIÓN SECUNDARIA TÉCNICA Nº2 MANUEL MATEO;BUENOS AIRES;SAN VICENTE;PMI EQUIPAMIENTO INSTITUCIONAL                                                                      ;RM -1994/2022;$ 3.705.000,00;$ 3.705.000,00;Buenos Aires
60011000;ESCUELA DE EDUCACIÓN SECUNDARIA TÉCNICA Nº2 MANUEL MATEO;BUENOS AIRES;SAN VICENTE;PLAN DE MEJORA INSTITUCIONAL – ETP –Entornos Formativos;RM -3431/2021;$ 900.000,00;$ 900.000,00;Buenos Aires
60021000;INSTITUTO SUPERIOR DE ESTUDIOS TECNICOS;BUENOS AIRES;MAR DEL PLATA;FONDO ESCOLAR - Programa 39 - INET;RM -732/2023;$ 985.000,00;$ 0,00;Buenos Aires
60021000;INSTITUTO SUPERIOR DE ESTUDIOS TECNICOS;BUENOS AIRES;MAR DEL PLATA;FONDO ESCOLAR - Programa 39 - INET;RM -957/2022;$ 822.920,00;$ 822.920,00;Buenos Aires
60025700;ESC SEC. MUNIC. DE EDUC. TEC. NRO 1;BUENOS AIRES;MAR DEL PLATA;FONDO ESCOLAR - Programa 39 - INET;RM -957/2022;$ 782.500,00;$ 0,00;Buenos Aires
60025700;ESC SEC. MUNIC. DE EDUC. TEC. NRO 1;BUENOS AIRES;MAR DEL PLATA;PMI EQUIPAMIENTO INSTITUCIONAL                                                                      ;RM -1994/2022;$ 1.365.000,00;$ 1.365.000,00;Buenos Aires
60056200;INSTITUTO SUPERIOR DE FORMACION DOCENTE Nº139 MARIANO MORENO;BUENOS AIRES;CARMEN DE ARECO;FONDO ESCOLAR - Programa 39 - INET;RM -957/2022;$ 543.905,00;$ 219.667,36;Buenos Aires
60057400;CENTRO EDUCATIVO PARA LA PRODUCCIÓN TOTAL Nº9;BUENOS AIRES;CARLOS TEJEDOR;PMI EQUIPAMIENTO INSTITUCIONAL                                                                      ;RM -1994/2022;$ 2.145.000,00;$ 2.145.000,00;Buenos Aires
60057400;CENTRO EDUCATIVO PARA LA PRODUCCIÓN TOTAL Nº9;BUENOS AIRES;CARLOS TEJEDOR;PLAN DE MEJORA INSTITUCIONAL – ETP –Entornos Formativos;RM -3431/2021;$ 500.000,00;$ 500.000,00;Buenos Aires
60057400;CENTRO EDUCATIVO PARA LA PRODUCCIÓN TOTAL Nº9;BUENOS AIRES;CARLOS TEJEDOR;FONDO ESCOLAR - Programa 39 - INET;RM -957/2022;$ 1.188.975,00;$ 70.900,00;Buenos Aires
60057400;CENTRO EDUCATIVO PARA LA PRODUCCIÓN TOTAL Nº9;BUENOS AIRES;CARLOS TEJEDOR;EQUIPAMIENTO DE RESIDENCIAS Y/O ALBERGUES ESTUDIANTILES;RM -562/2022;$ 2.480.000,00;$ 2.480.000,00;Buenos Aires
60067400;INSTITUTO SUPERIOR DE FORMACION DOCENTE Nº90;BUENOS AIRES;VERONICA;FONDO ESCOLAR - Programa 39 - INET;RM -957/2022;$ 684.500,00;$ 0,00;Buenos Aires
60067400;INSTITUTO SUPERIOR DE FORMACION DOCENTE Nº90;BUENOS AIRES;VERONICA;FONDO ESCOLAR - Programa 39 - INET;RM -1303/2021;$ 104.240,00;$ 104.240,00;Buenos Aires
60074100;ESCUELA DE EDUCACIÓN SECUNDARIA TÉCNICA Nº1;BUENOS AIRES;BRAGADO;PLAN DE MEJORA INSTITUCIONAL – ETP –Entornos Formativos;RM -3431/2021;$ 0,00;$ 0,00;Buenos Aires
60074100;ESCUELA DE EDUCACIÓN SECUNDARIA TÉCNICA Nº1;BUENOS AIRES;BRAGADO;PLAN DE MEJORA INSTITUCIONAL – ETP –Entornos Formativos;RM -3431/2021;$ 500.000,00;$ 500.000,00;Buenos Aires
60074100;ESCUELA DE EDUCACIÓN SECUNDARIA TÉCNICA Nº1;BUENOS AIRES;BRAGADO;FONDO ESCOLAR - Programa 39 - INET;RM -957/2022;$ 1.138.200,00;$ 1.138.200,00;Buenos Aires
60074100;ESCUELA DE EDUCACIÓN SECUNDARIA TÉCNICA Nº1;BUENOS AIRES;BRAGADO;PMI EQUIPAMIENTO INSTITUCIONAL                                                                      ;RM -1994/2022;$ 3.705.000,00;$ 3.705.000,00;Buenos Aires
